SKU;Name;Color;Category;Category position;Brand;Seller;Balance;Comments;Rating;Final Price;Min price;Max price;Average price;Base price;Basic Sale;Basic Sale Price;Promo Sale;SPP;SPP Price;Revenue potential;Lost profit;Lost profit percent;Days in stock;Days with sales;Average if in stock;Sales;Sales per day average;Revenue
204850;Зеркальце;золотистый;Женщинам/Подарки женщинам/Любимой/Зеркальце;86;Win;ИП Дабагян Вилен Артурович;2;10;3;1715;1509;2089;0;1806;30;2580;5;5;1629;0;0;0;30;0;0;0;0;0
204851;Зеркальце;красный, серебристый;Аксессуары/Зеркальца;1063;Win;ИП Дабагян Вилен Артурович;6;16;4;1236;744;1339;0;1302;30;1860;5;5;1175;0;0;0;30;0;0;0;0;0
204852;Зеркальце;серебристый;Женщинам/Подарки женщинам/Подруге/Зеркальце;72;Win;ИП Дабагян Вилен Артурович;6;3;2;1236;744;1339;0;1302;30;1860;5;5;1175;0;0;0;30;0;0;0;0;0
204857;Держатель для бутылок;синий;Дом/Кухня/Порядок на кухне/Держатель для бутылок;258;Win;ИП Дабагян Вилен Артурович;2;2;5;6962;4188;7538;0;7329;30;10470;5;5;6614;0;0;0;30;0;0;0;0;0
204858;Держатель для бутылок;золотистый;Дом/Кухня/Порядок на кухне/Держатель для бутылок;259;Win;ИП Дабагян Вилен Артурович;2;0;0;8558;7528;10424;0;9009;30;12870;5;5;8130;0;0;0;30;0;0;0;0;0
204859;Держатель для бутылок;золотистый;Дом/Кухня/Порядок на кухне/Держатель для бутылок;188;Win;ИП Дабагян Вилен Артурович;3;0;0;8219;4944;8899;7045;8652;30;12360;5;5;7808;7045;0;0;30;1;0.033333333333333;1;0.033333333333333;7045
204864;Держатель для бутылок;серебристый;Дом/Кухня/Порядок на кухне/Держатель для бутылок;260;Win;ИП Дабагян Вилен Артурович;3;2;5;8738;7686;10643;0;9198;30;13140;5;5;8301;0;0;0;30;0;0;0;0;0
204867;Подсвечник;зеленый, оранжевый;Женщинам/Подарки женщинам/Подруге/Подсвечник;70;Win;ИП Дабагян Вилен Артурович;2;0;0;6643;5844;8091;0;6993;30;9990;5;5;6311;0;0;0;30;0;0;0;0;0
204870;Держатель для бутылок;оранжевый, зеленый;Дом/Кухня/Порядок на кухне/Держатель для бутылок;261;Win;ИП Дабагян Вилен Артурович;5;0;0;9077;5460;9828;0;9555;30;13650;5;5;8623;0;0;0;30;0;0;0;0;0
204890;Чайник заварочный керамика;красный;Дом/Кухня/Чайники и кофейники/Чайник заварочный;6669;Pavone;ООО Вайлдберриз;1;13;5;2763;2763;2763;0;3070;11;3450;10;5;2625;0;0;0;30;0;0;0;0;0
